setup,step,dirichlet_ratio,R2_with_Z,R2_with_X,predicted_optimum_R2_Z_X
random_X,0,0.08575033396482468,0.3199612498283386,0.8727052807807922,0.3213194012641907
random_X,5,0.04449596628546715,0.6113568544387817,0.466891884803772,0.3213194012641907
random_X,10,0.03803330287337303,0.7249680757522583,0.33666372299194336,0.3213194012641907
random_X,15,0.03425560146570206,0.8169952034950256,0.33021098375320435,0.3213194012641907
random_X,20,0.03236906975507736,0.9077130556106567,0.32726776599884033,0.3213194012641907
random_X,25,0.0307257492095232,0.9795131683349609,0.3093242049217224,0.3213194012641907
random_X,30,0.030370909720659256,0.9924977421760559,0.3222229480743408,0.3213194012641907
random_X,35,0.03048904798924923,0.9757832288742065,0.32179248332977295,0.3213194012641907
random_X,40,0.030287018045783043,0.9722276329994202,0.3370620012283325,0.3213194012641907
random_X,45,0.029429808259010315,0.9890441298484802,0.3298797011375427,0.3213194012641907
random_X,50,0.028141917660832405,0.9925424456596375,0.305200457572937,0.3213194012641907
random_X,55,0.025975771248340607,0.8965550065040588,0.2515535354614258,0.3213194012641907
random_X,60,0.024636611342430115,0.9162257313728333,0.3036114573478699,0.3213194012641907
random_X,65,0.025150377303361893,0.9668080806732178,0.27734375,0.3213194012641907
random_X,70,0.025166012346744537,0.9643023014068604,0.27771133184432983,0.3213194012641907
random_X,75,0.02464527264237404,0.9750992655754089,0.30080342292785645,0.3213194012641907
random_X,80,0.024564804509282112,0.8361626863479614,0.2384800910949707,0.3213194012641907
random_X,85,0.024655532091856003,0.9957842826843262,0.30234646797180176,0.3213194012641907
random_X,90,0.024654274806380272,0.9764346480369568,0.3259991407394409,0.3213194012641907
random_X,95,0.024603812023997307,0.9756513833999634,0.3127812147140503,0.3213194012641907
random_X,100,0.024627577513456345,0.9240118265151978,0.33918297290802,0.3213194012641907
random_X,150,0.02471717819571495,0.8731335401535034,0.3099128007888794,0.3213194012641907
random_X,200,0.024688832461833954,0.6668545007705688,0.2887098789215088,0.3213194012641907
random_X,250,0.024691203609108925,0.6738824844360352,0.28896570205688477,0.3213194012641907
random_X,300,0.024899112060666084,0.6917952299118042,0.2561699151992798,0.3213194012641907
random_X,350,0.024965841323137283,0.6909923553466797,0.1996747851371765,0.3213194012641907
random_X,400,0.02436092495918274,0.8256130814552307,0.3211214542388916,0.3213194012641907
random_X,450,0.024505766108632088,0.7063922882080078,0.30025768280029297,0.3213194012641907
random_X,500,0.024594338610768318,0.9176728129386902,0.3468783497810364,0.3213194012641907
random_X,550,0.024954915046691895,0.6666053533554077,0.19570040702819824,0.3213194012641907
random_X,600,0.024593371897935867,0.6970047950744629,0.2011709213256836,0.3213194012641907
random_X,650,0.024525076150894165,0.6903259754180908,0.2851528525352478,0.3213194012641907
random_X,700,0.024650821462273598,0.6669273972511292,0.2924979329109192,0.3213194012641907
random_X,750,0.02471878007054329,0.7921322584152222,0.3035504221916199,0.3213194012641907
random_X,800,0.02523368038237095,0.6664968729019165,0.19470131397247314,0.3213194012641907
random_X,850,0.024629730731248856,0.6960439682006836,0.22354227304458618,0.3213194012641907
random_X,900,0.024700170382857323,0.7070596218109131,0.29073864221572876,0.3213194012641907
random_X,950,0.024706285446882248,0.7371987104415894,0.30265378952026367,0.3213194012641907
random_X,1000,0.02518821880221367,0.8228313326835632,0.30301743745803833,0.3213194012641907
random_X,1050,0.024739164859056473,0.6791602373123169,0.2006227970123291,0.3213194012641907
random_X,1100,0.024709803983569145,0.740538477897644,0.27468597888946533,0.3213194012641907
random_X,1150,0.024763429537415504,0.7222413420677185,0.29620981216430664,0.3213194012641907
random_X,1200,0.02583937905728817,0.6661597490310669,0.19400262832641602,0.3213194012641907
random_X,1250,0.0247452761977911,0.6801589727401733,0.2089385986328125,0.3213194012641907
random_X,1300,0.024699438363313675,0.8032006621360779,0.28162461519241333,0.3213194012641907
random_X,1350,0.024910686537623405,0.7457782030105591,0.30530357360839844,0.3213194012641907
random_X,1400,0.025354724377393723,0.6669927835464478,0.1937161684036255,0.3213194012641907
random_X,1450,0.024769939482212067,0.6998515129089355,0.23063737154006958,0.3213194012641907
random_X,1500,0.02469143457710743,0.7878055572509766,0.29889190196990967,0.3213194012641907
random_X,1550,0.025154735893011093,0.7425805926322937,0.3011799454689026,0.3213194012641907
random_X,1600,0.025083009153604507,0.6680273413658142,0.1943987011909485,0.3213194012641907
random_X,1650,0.024762054905295372,0.7057410478591919,0.2246738076210022,0.3213194012641907
random_X,1700,0.024760926142334938,0.7364590167999268,0.2848776578903198,0.3213194012641907
random_X,1750,0.025450240820646286,0.7514739036560059,0.2977370023727417,0.3213194012641907
random_X,1800,0.02488379180431366,0.6783188581466675,0.20693910121917725,0.3213194012641907
random_X,1850,0.02470177784562111,0.7219152450561523,0.23185282945632935,0.3213194012641907
random_X,1900,0.025105047971010208,0.717402458190918,0.2935289144515991,0.3213194012641907
random_X,1950,0.025305945426225662,0.6672873497009277,0.19519758224487305,0.3213194012641907
random_X,2000,0.02477400191128254,0.692558765411377,0.20673984289169312,0.3213194012641907
grid_X,0,0.2873007655143738,0.11401134729385376,0.11013388633728027,0.9162423014640808
grid_X,5,0.1827678680419922,0.47814446687698364,0.47158282995224,0.9162423014640808
grid_X,10,0.1591966152191162,0.6351826190948486,0.6251500844955444,0.9162423014640808
grid_X,15,0.1532694697380066,0.6942919492721558,0.661042332649231,0.9162423014640808
grid_X,20,0.15188796818256378,0.6973409056663513,0.650754451751709,0.9162423014640808
grid_X,25,0.1514449417591095,0.703916072845459,0.6535370945930481,0.9162423014640808
grid_X,30,0.15012836456298828,0.7711589336395264,0.721352756023407,0.9162423014640808
grid_X,35,0.14886349439620972,0.8692183494567871,0.8128966093063354,0.9162423014640808
grid_X,40,0.14826232194900513,0.9457103610038757,0.8780287504196167,0.9162423014640808
grid_X,45,0.1476958841085434,0.9731720089912415,0.8970667123794556,0.9162423014640808
grid_X,50,0.14757707715034485,0.9580419063568115,0.8699109554290771,0.9162423014640808
grid_X,55,0.14755947887897491,0.9632076025009155,0.8729798197746277,0.9162423014640808
grid_X,60,0.14732979238033295,0.98764568567276,0.9017555117607117,0.9162423014640808
grid_X,65,0.14719928801059723,0.99672931432724,0.9151275753974915,0.9162423014640808
grid_X,70,0.14717067778110504,0.9973844885826111,0.9163858294487,0.9162423014640808
grid_X,75,0.14717037975788116,0.9966202974319458,0.9141663908958435,0.9162423014640808
grid_X,80,0.14715994894504547,0.99764084815979,0.9146925210952759,0.9162423014640808
grid_X,85,0.14714236557483673,0.9992926120758057,0.9160807132720947,0.9162423014640808
grid_X,90,0.1471358835697174,0.9998452663421631,0.9166976809501648,0.9162423014640808
grid_X,95,0.14713655412197113,0.9995830655097961,0.9150906205177307,0.9162423014640808
grid_X,100,0.14713549613952637,0.999694287776947,0.9150382280349731,0.9162423014640808
grid_X,150,0.14713382720947266,0.999996542930603,0.9163157939910889,0.9162423014640808
grid_X,200,0.1471327692270279,0.9999925494194031,0.9162739515304565,0.9162423014640808
grid_X,250,0.14713209867477417,0.999999463558197,0.9162582159042358,0.9162423014640808
grid_X,300,0.14713434875011444,0.9999887943267822,0.9161596298217773,0.9162423014640808
grid_X,350,0.1471339464187622,0.9999898672103882,0.9161955714225769,0.9162423014640808
grid_X,400,0.14713293313980103,0.9999937415122986,0.9161943197250366,0.9162423014640808
grid_X,450,0.14713338017463684,0.9999939203262329,0.916277289390564,0.9162423014640808
grid_X,500,0.1471349000930786,0.9999853372573853,0.9162803888320923,0.9162423014640808
