scene_id,r_init,r_final,r_delta,a_init,a_final,a_delta,delta_norm_pct
s_002abd79ae_t0,0.03815582022070885,0.032315805554389954,-0.005840014666318893,0.3297078609466553,0.35028892755508423,0.020581066608428955,68.73619842529297
s_002abd79ae_t1,0.03502628579735756,0.0179098229855299,-0.01711646281182766,0.43464142084121704,0.42184382677078247,-0.01279759407043457,69.56028747558594
s_002d72ceb3_t0,0.07243024557828903,0.00011971931235166267,-0.07231052626593737,1.0,1.0,0.0,63.43785095214844
s_002d72ceb3_t1,0.07213912904262543,0.14189006388187408,0.06975093483924866,1.0,1.0,0.0,94.9779052734375
s_00656814a4_t0,0.034735001623630524,0.05912763625383377,0.024392634630203247,0.9725022315979004,0.5111915469169617,-0.4613106846809387,75.17835235595703
s_00656814a4_t1,0.03440423309803009,0.044190142303705215,0.009785909205675125,0.9400879144668579,0.5486555099487305,-0.39143240451812744,77.0064468383789
s_006d56dae3_t0,0.050171785056591034,0.11011448502540588,0.05994269996881485,0.5092136859893799,0.6975070238113403,0.18829333782196045,74.26194763183594
s_006d56dae3_t1,0.04791813716292381,0.039568234235048294,-0.008349902927875519,0.5370954275131226,0.6147708892822266,0.077675461769104,74.59423065185547
s_006fb3ee75_t0,0.023774437606334686,0.029521102085709572,0.0057466644793748856,0.8194084167480469,0.21946203708648682,-0.5999463796615601,63.078033447265625
s_006fb3ee75_t1,0.02639668621122837,0.030290834605693817,0.0038941483944654465,0.8398480415344238,0.7501438856124878,-0.08970415592193604,68.91824340820312
s_0077a8476e_t0,0.034213196486234665,0.030822064727544785,-0.0033911317586898804,0.6623154878616333,0.3874618411064148,-0.2748536467552185,70.76850891113281
s_0077a8476e_t1,0.03514128550887108,0.06124419718980789,0.026102911680936813,0.6571613550186157,0.3371642827987671,-0.31999707221984863,78.02684783935547
s_007947564f_t0,0.02662096917629242,0.03205447643995285,0.005433507263660431,0.6500393152236938,0.6535962820053101,0.003556966781616211,76.476318359375
s_007947564f_t1,0.028758864849805832,0.0011391938896849751,-0.027619670960120857,0.7310220003128052,0.705743670463562,-0.025278329849243164,71.99684143066406
s_0081786aa6_t0,0.12017280608415604,0.2076367884874344,0.08746398240327835,1.0,1.0,0.0,73.76078796386719
s_0081786aa6_t1,0.12506674230098724,0.07509094476699829,-0.04997579753398895,1.0,1.0,0.0,78.4639892578125
s_008bbf20b4_t0,0.0006371152121573687,0.0009767392184585333,0.0003396240063011646,1.0,1.0,0.0,22.69232177734375
s_008bbf20b4_t1,0.0006423426093533635,0.0003784285800065845,-0.000263914029346779,1.0,1.0,0.0,21.604534149169922
s_00cc71e8a4_t0,0.053858861327171326,0.0014887760626152158,-0.05237008526455611,1.0,1.0,0.0,68.88261413574219
s_00cc71e8a4_t1,0.05109841004014015,0.0856512039899826,0.03455279394984245,1.0,1.0,0.0,74.44151306152344
s_00d91346dd_t0,0.02123239077627659,0.026491587981581688,0.0052591972053050995,0.5952959656715393,0.7582845687866211,0.1629886031150818,59.74922180175781
s_00d91346dd_t1,0.01973150484263897,0.031991053372621536,0.012259548529982567,0.6373005509376526,0.5880005359649658,-0.04930001497268677,65.68354034423828
s_00e053d1ee_t0,0.033614594489336014,0.051360201090574265,0.01774560660123825,0.56493079662323,0.49662768840789795,-0.06830310821533203,76.88014221191406
s_00e053d1ee_t1,0.034891072660684586,0.019353317096829414,-0.015537755563855171,0.7739659547805786,0.7615028023719788,-0.012463152408599854,76.51921844482422
