scene_id,r_init,r_final,r_delta,a_init,a_final,a_delta,delta_norm_pct
s_01b780ac0e_t0,0.0053735170513391495,7.565165287815034e-05,-0.005297865398460999,1.0,1.0,0.0,35.21059036254883
s_01b780ac0e_t1,0.005316711962223053,8.737338794162497e-05,-0.005229338574281428,1.0,1.0,0.0,34.49576187133789
s_01ca5c558f_t0,0.008057055063545704,0.0009029204957187176,-0.007154134567826986,0.9180651903152466,0.9370291233062744,0.018963932991027832,41.34803009033203
s_01ca5c558f_t1,0.008555777370929718,0.0009092652471736073,-0.007646512123756111,0.9360740780830383,0.9519189596176147,0.015844881534576416,42.800880432128906
s_01d3ab6d57_t0,0.02719564363360405,0.0025461658369749784,-0.02464947779662907,0.6198429465293884,0.884885311126709,0.26504236459732056,62.36128234863281
s_01d3ab6d57_t1,0.027368227019906044,0.002610235707834363,-0.02475799131207168,0.7717594504356384,0.86939537525177,0.09763592481613159,64.25273895263672
s_01ec53ad9c_t0,0.02219923585653305,0.0001810485264286399,-0.02201818733010441,1.0,1.0,0.0,40.99470520019531
s_01ec53ad9c_t1,0.02316996641457081,0.00022681619157083333,-0.022943150222999975,1.0,1.0,0.0,45.06550216674805
s_01edf96164_t0,0.0233614444732666,0.0024883695878088474,-0.020873074885457754,0.9669272303581238,0.9572591781616211,-0.009668052196502686,53.14350128173828
s_01edf96164_t1,0.0169364120811224,0.002428625011816621,-0.014507787069305778,0.9728050827980042,0.9762592315673828,0.003454148769378662,46.127567291259766
s_01ef228b4c_t0,0.0339924581348896,0.00313368602655828,-0.030858772108331323,0.7874788045883179,0.8942431211471558,0.10676431655883789,64.6162338256836
s_01ef228b4c_t1,0.032772697508335114,0.0031371908262372017,-0.029635506682097912,0.828427791595459,0.8996548652648926,0.0712270736694336,65.41692352294922
s_0204e5e964_t0,0.031513262540102005,0.0007280766731128097,-0.030785185866989195,0.8133670687675476,0.9471802711486816,0.13381320238113403,71.78614044189453
s_0204e5e964_t1,0.02980542555451393,0.0005365990800783038,-0.029268826474435627,0.8963603973388672,0.9539592266082764,0.05759882926940918,63.2230339050293
